id;titulo;temas;fontes;divisao-administrativa;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
50;Divisão Territorial da RM Belém;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Belém;Mapa da Divisão Territorial da RM Belém;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMbelDT1.jpg#RMbelDT2.jpg#RMbelDT3.jpg#DataMunBEL.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
51;Divisão Territorial da RM Belo Horizonte;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Belo Horizonte;Mapa da Divisão Territorial da RM Belo Horizonte;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMbhzDT1.jpg#RMbhzDT2.jpg#RMbhzDT3.jpg#DataMunBHZ.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
52;Divisão Territorial da RM Campinas;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Campinas;Mapa da Divisão Territorial da RM Campinas;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcamDT1.jpg#RMcamDT2.jpg#RMcamDT3.jpg#DataMunCAM.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
53;Divisão Territorial da RM Carbonífera;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Carbonífera;Mapa da Divisão Territorial da RM Carbonífera;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcarDT1.jpg#RMcarDT2.jpg#RMcarDT3.jpg#DataMunCAR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
54;Divisão Territorial da RM Cuiabá-Várzea Grande;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Cuiabá-Várzea Grande;Mapa da Divisão Territorial da RM Cuiabá-Várzea Grande;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcvgDT1.jpg#RMcvgDT2.jpg#RMcvgDT3.jpg#DataMunCVG.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
55;Divisão Territorial da RM Curitiba;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Curitiba;Mapa da Divisão Territorial da RM Curitiba;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMcurDT1.jpg#RMcurDT2.jpg#RMcurDT3.jpg#DataMunCUR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
56;Divisão Territorial da RM DF e entorno;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM DF e entorno;Mapa da Divisão Territorial da RM DF e entorno;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMdfeDT1.jpg#RMdfeDT2.jpg#RMdfeDT3.jpg#DataMunDFE.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
57;Divisão Territorial da RM Florianópolis;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Florianópolis;Mapa da Divisão Territorial da RM Florianópolis;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMfloDT1.jpg#RMfloDT2.jpg#RMfloDT3.jpg#DataMunFLO.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
58;Divisão Territorial da RM Fortaleza;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Fortaleza;Mapa da Divisão Territorial da RM Fortaleza;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMforDT1.jpg#RMforDT2.jpg#RMforDT3.jpg#DataMunFOR.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
59;Divisão Territorial da RM Foz do Itajaí;Divisão Territorial;Centro de Estudos da Metrópole;Regiões Metropolitanas#RM Foz do Itajaí;Mapa da Divisão Territorial da RM Foz do Itajaí;Mapa (imagem);Divisão municipal em 2007 (mudo)#Municípios (identificados)#Sedes e limites municipais em 2007#Dados da Região Metropolitana#Dados das 36 RMs#Dicionário das 36 RMs;RMfriDT1.jpg#RMfriDT2.jpg#RMfriDT3.jpg#DataMunFRI.xls#DataRmBr08.xls#DicRm08im.pdf;2007;2008-01-01
